X,Y,Path_curvature,Xin,Yin,Xout,Yout
0,0,0,-2.862123631,-5,-2.862123631,5
-2.862123631,0,0,-2.712111042,5,-2.712111042,-5
-2.712111042,0,0,-2.562106541,5,-2.562106541,-5
-2.562106541,0,0,-2.412160132,5,-2.412160132,-5
-2.412160132,0,0,-2.262300393,5,-2.262300393,-5
-2.262300393,0,0,-2.112525158,5,-2.112525158,-5
-2.112525158,0,0,-1.962813791,5,-1.962813791,-5
-1.962813791,0,0,-1.813145893,5,-1.813145893,-5
-1.813145893,0,0,-1.663512648,5,-1.663512648,-5
-1.663512648,0,0,-1.513915127,5,-1.513915127,-5
-1.513915127,0,0,-1.364355329,5,-1.364355329,-5
-1.364355329,0,0,-1.214829635,5,-1.214829635,-5
-1.214829635,0,0,-1.065329601,5,-1.065329601,-5
-1.065329601,0,0,-0.915847464,5,-0.915847464,-5
-0.915847464,0,0,-0.766380173,5,-0.766380173,-5
-0.766380173,0,0,-0.616928343,5,-0.616928343,-5
-0.616928343,0,0,-0.467491863,5,-0.467491863,-5
-0.467491863,0,0,-0.318066752,5,-0.318066752,-5
-0.318066752,0,0,-0.168646147,5,-0.168646147,-5
-0.168646147,0,0,-0.019224263,5,-0.019224263,-5
-0.019224263,0,0,-0.130200364,-5,-0.130200364,5
-0.130200364,0,0,-0.279625029,-5,-0.279625029,5
-0.279625029,0,0,-0.429045913,-5,-0.429045913,5
-0.429045913,0,0,-0.57846124,-5,-0.57846124,5
-0.57846124,0,0,-0.727872075,-5,-0.727872075,5
-0.727872075,0,0,-0.877280626,-5,-0.877280626,5
-0.877280626,0,0,-1.026687997,-5,-1.026687997,5
-1.026687997,0,0,-1.17609338,-5,-1.17609338,5
-1.17609338,0,0,-1.325495105,-5,-1.325495105,5
-1.325495105,0,0,-1.474892279,-5,-1.474892279,5
-1.474892279,0,0,-1.624285474,-5,-1.624285474,5
-1.624285474,0,0,-1.773676036,-5,-1.773676036,5
-1.773676036,0,0,-1.923064809,-5,-1.923064809,5
