X,Y,Path_curvature,Xin,Yin,Xout,Yout
0,0,0.000158623,5.046531133,1.220629499,-3.680160376,-3.662489925
0.683185378,-1.220930213,-0.000305335,-3.708777199,-3.611348397,5.017914309,1.271771027
0.654568555,-1.169788685,-0.000285901,-3.737391962,-3.560210552,4.989299546,1.322908873
0.625953792,-1.11865084,-0.000266468,-3.765992357,-3.509098384,4.960699152,1.37402104
0.597353398,-1.067538672,-0.000247045,-3.794571248,-3.458024645,4.932120261,1.425094779
0.568774507,-1.016464933,-0.000227637,-3.823129263,-3.406988213,4.903562245,1.476131211
0.540216491,-0.965428501,-0.000208243,-3.85167184,-3.355979372,4.875019668,1.527140053
0.511673914,-0.914419659,-0.00018886,-3.880204392,-3.304988447,4.846487117,1.578130978
0.483141362,-0.863428734,-0.000169483,-3.908729227,-3.254011312,4.817962282,1.629108112
0.454616527,-0.8124516,-0.000150111,-3.937245912,-3.203048743,4.789445597,1.680070682
0.426099842,-0.761489031,-0.000130745,-3.965753693,-3.152102086,4.760937816,1.731017339
0.397592061,-0.710542373,-0.000111386,-3.994253357,-3.101169934,4.732438151,1.78194949
0.369092397,-0.659610222,-9.20311E-05,-4.022747065,-3.050248428,4.703944444,1.832870997
0.340598689,-0.608688716,-7.26808E-05,-4.051236794,-2.999334032,4.675454715,1.883785393
0.31210896,-0.55777432,-5.33332E-05,-4.079723161,-2.948425644,4.646968348,1.934693781
0.283622593,-0.506865932,-3.39878E-05,-4.108205721,-2.89752406,4.618485788,1.985595364
0.255140034,-0.455964348,-1.4645E-05,-4.136684294,-2.846629601,4.590007215,2.036489823
0.226661461,-0.405069889,4.69505E-06,-4.165159945,-2.795740363,4.561531563,2.087379061
0.198185809,-0.354180651,2.40331E-05,-4.193634686,-2.744852753,4.533056823,2.138266671
0.169711068,-0.303293041,4.33706E-05,-4.222110208,-2.693963746,4.5045813,2.189155679
0.141235546,-0.252404034,6.27086E-05,-4.250586831,-2.643072773,4.476104678,2.240046652
0.112758923,-0.20151306,8.20473E-05,-4.27906354,-2.592181644,4.447627969,2.29093778
0.084282214,-0.150621932,0.000101386,-4.307539008,-2.541292735,4.419152501,2.34182669
0.055806746,-0.099733022,0.000120724,-2.640599962,-4.314987967,2.411428146,4.315018522
-0.114585908,1.52778E-05,0.000158623,-0.004158543,5.000000599,-0.005491845,-4.999999312
-0.004825194,6.43344E-07,0.000158623,-0.124901439,-4.999983391,-0.123568138,5.00001652
