X,Y,Path_curvature,Xin,Yin,Xout,Yout
1.91162E-07,-5.4894E-08,6.59265E-06,2.883550388,4.987658486,2.84059125,-5.01224924
2.862070819,-0.012295377,0.032094105,2.690581437,-5.011604805,2.733540561,4.988302921
2.712060999,-0.011650942,0.030412301,2.540579679,-5.010960404,2.583538853,4.988947322
2.562059266,-0.011006541,0.028730587,2.390636053,-5.010316253,2.433595197,4.989591473
2.412115625,-0.01036239,0.027049525,2.240779102,-5.009672475,2.283738202,4.990235251
2.262258652,-0.009718612,0.025369435,2.091006598,-5.009029059,2.133965766,4.990878667
2.112486182,-0.009075196,0.023690292,1.941298016,-5.008385918,1.984257142,4.991521808
1.962777579,-0.008432055,0.022011865,1.791632891,-5.007742964,1.834591999,4.992164762
1.813112445,-0.007789101,0.020333925,1.64200238,-5.007100158,1.684961546,4.992807568
1.663481963,-0.007146295,0.018656374,1.49240764,-5.006457506,1.53536677,4.99345022
1.513887205,-0.006503643,0.016979223,1.342850602,-5.005815016,1.385809736,4.99409271
1.364330169,-0.005861153,0.015302496,1.193327654,-5.005172672,1.236286822,4.994735054
1.214807238,-0.005218809,0.01362615,1.043830408,-5.004530439,1.086789524,4.995377287
1.065309966,-0.004576576,0.011950092,0.894351037,-5.003888283,0.937310147,4.996019443
0.915830592,-0.00393442,0.010274235,0.744886483,-5.00324619,0.787845643,4.996661536
0.766366063,-0.003292327,0.008598545,0.595437434,-5.002604164,0.638396556,4.997303562
0.616916995,-0.002650301,0.006923028,0.446003684,-5.001962202,0.48896287,4.997945522
0.467483277,-0.00200834,0.005247682,0.296581375,-5.001320292,0.339540483,4.998587434
0.318060929,-0.001366429,0.003572465,0.14716352,-5.0006784,0.190122652,4.999229326
0.168643086,-0.000724537,0.001897298,-0.002255608,-5.000036502,0.040703538,4.999871223
0.019223965,-8.26393E-05,0.000222116,-0.132970931,-4.999999074,-0.127429787,4.999999391
-0.130200359,1.58887E-07,6.59158E-06,-0.279631582,-4.999999645,-0.279618462,5.000000355
-0.279625022,3.54942E-07,7.35577E-06,-0.429045858,-4.999999646,-0.42904595,5.000000354
-0.429045904,3.5358E-07,1.12101E-05,-0.578452625,-4.999999904,-0.578469835,5.000000096
-0.57846123,9.6427E-08,1.28357E-05,-0.727855716,-5.000000392,-0.727888408,4.999999608
-0.727872062,-3.92029E-07,1.24458E-05,-0.877251073,-5.000001275,-0.877310149,4.999998725
-0.877280611,-1.27467E-06,6.84349E-06,-1.026655814,-5.000002236,-1.026720144,4.999997764
-1.026687979,-2.23582E-06,2.49944E-07,-1.176059657,-5.000003243,-1.176127063,4.999996757
-1.17609336,-3.24291E-06,-6.73456E-06,-1.325467816,-5.000004058,-1.32552235,4.999995942
-1.325495083,-4.05766E-06,-1.35475E-05,-1.474871288,-5.000004684,-1.47491322,4.999995316
-1.474892254,-4.68411E-06,-2.01923E-05,-1.62428664,-5.000004648,-1.624284254,4.999995352
-1.624285447,-4.64845E-06,-2.10349E-05,-1.773685789,-5.000004356,-1.773666225,4.999995644
-1.773676007,-4.35618E-06,-1.96684E-05,-1.923096395,-5.000003411,-1.923033161,4.999996588
-1.923064778,-3.41153E-06,-1.27963E-05,-2.072488682,-5.000002299,-2.072414224,4.999997701
-2.072451453,-2.29922E-06,-5.80168E-06,-2.2218782,-5.000001009,-2.221791822,4.999998991
-2.221835011,-1.00888E-06,1.32303E-06,-2.371255186,-4.999999799,-2.371174218,5.0000002
-2.371214702,2.00616E-07,8.44756E-06,-2.520628002,-4.999998684,-2.520553318,5.000001316
-2.52059066,1.31621E-06,1.53291E-05,-2.669985305,-4.999998038,-2.669942069,5.000001962
-2.669963687,1.96205E-06,2.06921E-05,-2.819342467,-4.999997801,-2.819326577,5.000002199
-2.819334522,2.1994E-06,2.17569E-05,-2.968695447,-4.999998035,-2.968711125,5.000001965
-2.968703286,1.96523E-06,1.78604E-05,-3.118044873,-4.999998772,-3.118094233,5.000001228
-3.118069553,1.22797E-06,1.15671E-05,-3.267402922,-4.999999666,-3.2674628,5.000000334
-3.267432861,3.33626E-07,4.63843E-06,-3.41675723,-5.00000074,-3.416829136,4.99999926
-3.416793183,-7.40359E-07,-2.29167E-06,-3.566118398,-5.000001712,-3.566183492,4.999998287
-3.566150945,-1.71258E-06,-9.21691E-06,-3.715478402,-5.000002557,-3.715534926,4.999997443
-3.715506664,-2.55681E-06,-1.61361E-05,-3.864849357,-5.000002892,-3.864871785,4.999997108
-3.864860571,-2.89179E-06,-2.13424E-05,-4.014209494,-5.000002983,-4.014215596,4.999997017
-4.014212545,-2.98293E-06,-2.55636E-05,-4.163588245,-5.00000221,-4.163536465,4.99999779
-4.163562355,-2.2096E-06,-2.53098E-05,-4.312949086,-5.00000104,-4.312870808,4.999998959
-4.312909947,-1.04054E-06,-2.47757E-05,-4.462312891,-4.999999327,-4.462198203,5.000000672
-4.462255547,6.72267E-07,-2.38564E-05,-4.6116789,-4.999996955,-4.61152008,5.000003044
-4.61159949,3.04416E-06,-2.2937E-05,-4.761030892,-4.9999943,-4.7608531,5.000005699
-4.760941996,5.69936E-06,-2.19463E-05,-4.910397547,-4.99999088,-4.910168587,5.000009117
-4.910283067,9.11867E-06,-2.00518E-05,-5.059746504,-4.999987179,-5.059498664,5.000012818
-5.059622584,1.28199E-05,-1.65999E-05,-5.209098617,-4.999983053,-5.208822377,5.000016943
-5.208960497,1.69452E-05,-1.08047E-05,-5.358443387,-4.999978678,-5.358150437,5.000021318
-5.358296912,2.132E-05,-4.30228E-06,-5.507781544,-4.999974213,-5.507482546,5.000025783
-5.507632045,2.57851E-05,2.46805E-06,-5.657113068,-4.999969823,-5.656819096,5.000030173
-5.656966082,3.01751E-05,9.23832E-06,-5.806439741,-4.999965622,-5.806158457,5.000034374
-5.806299099,3.43756E-05,1.51759E-05,-5.955761239,-4.999961735,-5.955500907,5.000038262
-5.955631073,3.82632E-05,1.97374E-05,-6.105073629,-4.999958402,-6.104850367,5.000041596
-6.104961998,4.15972E-05,1.80893E-05,-6.254395237,-4.999955317,-6.254188641,5.000044681
-6.254291939,4.46823E-05,1.37527E-05,-6.403707407,-4.999952737,-6.403534661,5.000047261
-6.403621034,4.72619E-05,7.27102E-06,-6.553034437,-4.999950199,-6.552864423,5.0000498
-6.55294943,4.98007E-05,7.89349E-07,-6.702359726,-4.999947734,-6.702194694,5.000052264
-6.70227721,5.22651E-05,-5.69229E-06,-6.85169351,-4.999945073,-6.851515278,5.000054926
-6.851604394,5.49266E-05,-1.12986E-05,-7.001023337,-4.999942315,-7.000838641,5.000057684
-7.000930989,5.76846E-05,-1.64616E-05,-7.15036984,-4.999938945,-7.150144246,5.000061052
-7.150257043,6.10533E-05,-1.65109E-05,-7.299702306,-4.999935371,-7.299462976,5.000064626
-7.299582641,6.46271E-05,-1.6133E-05,-7.449041365,-4.999931385,-7.448774417,5.000068612
-7.448907891,6.86133E-05,-1.48958E-05,-7.598378242,-4.999927043,-7.598087486,5.000072953
-7.598232864,7.2955E-05,-1.36585E-05,-7.747709167,-4.999922516,-7.747406035,5.000077479
-7.747557601,7.74815E-05,-1.24213E-05,-7.897048929,-4.999917534,-7.896715299,5.000082461
-7.896882114,8.24634E-05,-1.26045E-05,-8.046378436,-4.999912397,-8.046034434,5.000087597
-8.046206435,8.76002E-05,-1.45986E-05,-8.195713625,-4.999906931,-8.195347623,5.000093062
-8.195530624,9.30655E-05,-2.05813E-05,-8.34505582,-4.999900925,-8.344653668,5.000099067
-8.344854744,9.90706E-05,-2.74814E-05,-8.494390331,-4.99989461,-8.493967399,5.000105382
-8.494178865,0.000105386,-3.49082E-05,-8.643756754,-4.99988703,-8.643249268,5.000112958
-8.643503011,0.000112964,-4.23351E-05,-8.793099735,-4.99987889,-8.792554679,5.000121096
-8.792827207,0.000121103,-4.93308E-05,-8.942466476,-4.99986948,-8.941836504,5.0001305
-8.94215149,0.00013051,-5.52546E-05,-9.091834925,-4.999858754,-9.091116823,5.00014122
-9.091475874,0.000141233,-5.74952E-05,-9.241187374,-4.999847196,-9.24041349,5.000152774
-9.240800432,0.000152789,-5.74065E-05,-9.39057943,-4.999833624,-9.38967094,5.000166334
-9.390125185,0.000166355,-5.59074E-05,-9.539926958,-4.999819383,-9.5389734,5.000180571
-9.539450179,0.000180594,-5.43157E-05,-9.689302551,-4.999803636,-9.688248343,5.000196308
-9.688775447,0.000196336,-5.27239E-05,-9.838666495,-4.999786743,-9.837535477,5.000213193
-9.838100986,0.000213225,-5.38273E-05,-9.988019007,-4.999769055,-9.986834685,5.000230875
-9.987426846,0.00023091,-5.68037E-05,-10.13741056,-4.99974941,-10.13609552,5.000250504
-10.13675304,0.000250547,-7.65141E-05,-10.28677107,-4.999728754,-10.28538813,5.00027115
-10.2860796,0.000271198,-9.88669E-05,-10.4361859,-4.999705467,-10.4346273,5.000294411
-10.4354066,0.000294472,-0.000124684,-10.58560965,-4.999679299,-10.58385833,5.000320547
-10.58473399,0.000320624,-0.000150502,-10.73501099,-4.99965094,-10.73311275,5.00034888
-10.73406187,0.00034897,-0.000176319,-10.88453927,-4.99961658,-10.88224111,5.000383156
-10.88339019,0.000383288,-0.000193826,-11.03394857,-4.999579839,-11.03148943,5.000419859
-11.032719,0.00042001,-0.000202187,-11.18347971,-4.999537037,-11.18061705,5.000462553
-11.18204838,0.000462758,-0.000181495,-11.33292687,-4.999490752,-11.32982971,5.000508768
-11.33137829,0.000509008,-0.000155736,-11.48235527,-4.999441548,-11.47906237,5.00055791
-11.48070882,0.000558181,-0.000125746,-11.63181906,-4.999388366,-11.6282608,5.000611
-11.63003993,0.000611317,-9.5756E-05,-11.78118807,-4.999334104,-11.77755529,5.000665236
-11.77937168,0.000665566,-6.60165E-05,-11.93059247,-4.999277678,-11.92681573,5.000721608
-11.9287041,0.000721965,-3.73014E-05,-12.079941,-4.999220813,-12.0761334,5.000778463
-12.0780372,0.000778825,-1.12511E-05,-12.22928886,-4.999163527,-12.22545316,5.000835737
-12.22737101,0.000836105,1.23646E-05,-12.37860654,-4.999106758,-12.3748046,5.00089252
-12.37670557,0.000892881,3.48989E-05,-12.52792719,-4.999050425,-12.52415461,5.000948863
-12.5260409,0.000949219,5.72403E-05,-12.67720826,-4.998995751,-12.67354572,5.001003579
-12.67537699,0.001003914,7.95818E-05,-12.82648844,-4.998942771,-12.82293942,5.001056599
-12.82471393,0.001056914,0.000102062,-12.97576949,-4.998891484,-12.97233385,5.001107926
-12.97405167,0.001108221,0.000124681,-13.12497531,-4.998844188,-13.12180533,5.00115531
-13.12339032,0.001155561,0.000148217,-13.27425493,-4.998798656,-13.27120483,5.001200878
-13.27272988,0.001201111,0.000171988,-13.42341691,-4.998758487,-13.42072367,5.001241151
-13.42207029,0.001241332,0.000195994,-13.57263372,-4.99872202,-13.57018972,5.001277682
-13.57141172,0.001277831,0.000220001,-13.72184002,-4.998689614,-13.71966804,5.00131015
-13.72075403,0.001310268,0.000244007,-13.87093343,-4.998664692,-13.86926145,5.001335168
-13.87009744,0.001335238,0.000266946,-14.02017034,-4.998642951,-14.01871344,5.001356943
-14.01944189,0.001356996,0.000288933,-14.169204,-4.998630539,-14.1683705,5.001369427
-14.16878725,0.001369444,0.0003063,-14.31837053,-4.99862348,-14.31789713,5.001376508
-14.31813383,0.001376514,0.000323062,-14.46750345,-4.998622826,-14.46745925,5.001377174
-14.46748135,0.001377174,0.000339103,-14.61651722,-4.998632163,-14.61714308,5.001367817
-14.61683015,0.001367827,0.000355143,-14.76572393,-4.998645778,-14.76663629,5.00135418
-14.76618011,0.001354201,0.000371082,-14.91466306,-4.998671651,-14.91639904,5.001328199
-14.91553105,0.001328274,0.000386182,-15.06380106,-4.998703938,-15.06596568,5.001295828
-15.06488337,0.001295945,0.000399649,-15.21287534,-4.998744535,-15.21559808,5.001255095
-15.21423671,0.00125528,0.00041099,-15.36183681,-4.998796826,-15.36534617,5.001202558
-15.36359149,0.001202866,0.000421616,-15.51102231,-4.998854272,-15.51487277,5.001144986
-15.51294754,0.001145357,0.000432018,-15.65988725,-4.99892627,-15.66472203,5.001072562
-15.66230464,0.001073146,0.00044242,-15.80901441,-4.999005278,-15.81431213,5.000993318
-15.81166327,0.00099402,0.000448754,-15.95804492,-4.999094054,-15.96400108,5.000904172
-15.961023,0.000905059,0.000449304,-16.10699104,-4.999195154,-16.11377754,5.000802544
-16.11038429,0.000803695,0.000420741,-16.25617566,-4.999301712,-16.26331814,5.000695738
-16.2597469,0.000697013,0.000381256,-16.4050903,-4.999421472,-16.41313114,5.000575296
-16.40911072,0.000576912,0.000332567,-16.55430744,-4.99954588,-16.56264472,5.000450644
-16.55847608,0.000452382,0.000283877,-16.70344363,-4.999677099,-16.71224185,5.000319031
-16.70784274,0.000320966,0.000235188,-16.85261318,-4.999814272,-16.8618087,5.0001815
-16.85721094,0.000183614,0.000186501,-17.001897,-4.99995411,-17.01126416,5.000041503
-17.00658058,4.36969E-05,0.000137818,-17.15110082,-5.000098865,-17.16080248,4.999896429
-17.15595165,-0.000101218,8.91554E-05,-17.30044633,-5.000244565,-17.31020219,4.999750677
-17.30532426,-0.000246944,4.04949E-05,-17.44977438,-5.000391623,-17.4596224,4.999603527
-17.45469839,-0.000394048,-8.16242E-06,-17.59917006,-5.000538151,-17.60897808,4.999457039
-17.60407407,-0.000540556,-5.68202E-05,-17.74855896,-5.000684323,-17.75834364,4.999310889
-17.7534513,-0.000686717,-0.000105459,-17.89806526,-5.000826802,-17.90759506,4.999168658
-17.90283016,-0.000829072,-0.000153254,-18.04752624,-5.000966828,-18.05689494,4.999028784
-18.05221059,-0.000969022,-0.000199842,-18.19705821,-5.00110244,-18.20612717,4.998893448
-18.20159269,-0.001104496,-0.000244184,-18.3466604,-5.001231581,-18.3552924,4.998764693
-18.3509764,-0.001233444,-0.000287942,-18.49615154,-5.001357461,-18.50457204,4.998638993
-18.50036179,-0.001359234,-0.000331422,-18.64595174,-5.001471241,-18.65354604,4.998525875
-18.64974889,-0.001472683,-0.000374902,-18.79550669,-5.001579851,-18.80276867,4.998417513
-18.79913768,-0.001581169,-0.000416571,-18.94523619,-5.001678444,-18.95182021,4.998319388
-18.9485282,-0.001679528,-0.000454547,-19.09501156,-5.001765595,-19.10082934,4.998232713
-19.09792045,-0.001766441,-0.000478096,-19.24460695,-5.001846605,-19.25002195,4.998151929
-19.24731445,-0.001847338,-0.00049406,-19.39460957,-5.001909663,-19.39881089,4.998089455
-19.39671023,-0.001910104,-0.000504622,-19.54421569,-5.001966281,-19.54799989,4.998033003
-19.54610779,-0.001966639,-0.000515085,-19.69405737,-5.002009747,-19.69695685,4.997989833
-19.69550711,-0.002009957,-0.000525549,-19.8438789,-5.002040609,-19.84593766,4.997959179
-19.84490828,-0.002040715,-0.000533461,-19.99352317,-5.0020642,-19.99509925,4.997935676
-19.99431121,-0.002064262,-0.000539909,-20.14357749,-5.002068399,-20.14385453,4.997931597
-20.14371601,-0.002068401,-0.000530908,-20.29319889,-5.002066122,-20.29304643,4.997933876
-20.29312266,-0.002066123,-0.000520137,-20.44307333,-5.002049891,-20.44198885,4.997950051
-20.44253109,-0.00204992,-0.000506512,-20.59286928,-5.002022108,-20.59101358,4.99797772
-20.59194143,-0.002022194,-0.000492886,-20.7425224,-5.00198713,-20.74018478,4.998012596
-20.74135359,-0.001987267,-0.000479259,-20.8925,-5.0019352,-20.88903534,4.9980642
-20.89076767,-0.0019355,-0.00046061,-21.04210073,-5.001877843,-21.03826653,4.998121421
-21.04018363,-0.001878211,-0.000435917,-21.1919268,-5.00180818,-21.18727608,4.998190738
-21.18960144,-0.001808721,-0.000395637,-21.34162908,-5.001730107,-21.3364133,4.998268533
-21.33902119,-0.001730787,-0.000352182,-21.49124239,-5.00164634,-21.48564327,4.998352092
-21.48844283,-0.001647124,-0.000306573,-21.64101548,-5.001552023,-21.63471734,4.998445993
-21.63786641,-0.001553015,-0.000260962,-21.79054104,-5.001454859,-21.78404282,4.998543029
-21.78729193,-0.001455915,-0.000215708,-21.94018116,-5.00135126,-21.9332576,4.998646344
-21.93671938,-0.001352458,-0.000171527,-22.08972071,-5.001244432,-22.08257687,4.998753016
-22.08614879,-0.001245708,-0.000130642,-22.23923295,-5.001135206,-22.23192739,4.998862126
-22.23558017,-0.00113654,-9.21782E-05,-22.38876626,-5.001022975,-22.38126078,4.998974209
-22.38501352,-0.001024383,-5.50052E-05,-22.5382199,-5.000910256,-22.53067784,4.9990869
-22.53444887,-0.000911678,-1.79696E-05,-22.68768272,-5.000796769,-22.6800897,4.999200349
-22.68388621,-0.00079821,1.90666E-05,-22.83709737,-5.000684056,-22.82955377,4.999313098
-22.83332557,-0.000685479,5.63195E-05,-22.98651918,-5.000571923,-22.9790147,4.999425261
-22.98276694,-0.000573331,9.37447E-05,-23.1358541,-5.000463096,-23.1285666,4.999534248
-23.13221035,-0.000464424,0.000132543,-23.28524219,-5.000355944,-23.27806941,4.999641484
