X,Y,Path_curvature,Xin,Yin,Xout,Yout
0,0,0,2.867123451,5,2.867123451,-5
2.867123451,0,0,2.767111434,-5,2.767111434,5
2.767111434,0,0,2.667112474,-5,2.667112474,5
2.667112474,0,0,2.56718272,-5,2.56718272,5
2.56718272,0,0,2.467357361,-5,2.467357361,5
2.467357361,0,0,2.367640652,-5,2.367640652,5
2.367640652,0,0,2.268014837,-5,2.268014837,5
2.268014837,0,0,2.168458584,-5,2.168458584,5
2.168458584,0,0,2.068959255,-5,2.068959255,5
2.068959255,0,0,1.969512169,-5,1.969512169,5
1.969512169,0,0,1.87011206,-5,1.87011206,5
1.87011206,0,0,1.770747292,-5,1.770747292,5
1.770747292,0,0,1.671402673,-5,1.671402673,5
1.671402673,0,0,1.572067498,-5,1.572067498,5
1.572067498,0,0,1.472740557,-5,1.472740557,5
1.472740557,0,0,1.373427145,-5,1.373427145,5
1.373427145,0,0,1.274130875,-5,1.274130875,5
1.274130875,0,0,1.174847634,-5,1.174847634,5
1.174847634,0,0,1.075566767,-5,1.075566767,5
1.075566767,0,0,0.976277941,-5,0.976277941,5
0.976277941,0,0,0.876977458,-5,0.876977458,5
0.876977458,0,0,0.777668899,-5,0.777668899,5
0.777668899,0,0,0.678358299,-5,0.678358299,5
0.678358299,0,0,0.579048603,-5,0.579048603,5
0.579048603,0,0,0.479738096,-5,0.479738096,5
0.479738096,0,0,0.380423388,-5,0.380423388,5
0.380423388,0,0,0.281103516,-5,0.281103516,5
0.281103516,0,0,0.181781224,-5,0.181781224,5
0.181781224,0,0,0.08246051,-5,0.08246051,5
0.08246051,0,0,0.01685694,-5,0.01685694,5
0.01685694,0,0,-0.116173114,-5,-0.116173114,5
-0.116173114,0,0,-0.215491752,-5,-0.215491752,5
-0.215491752,0,0,-0.314815088,-5,-0.314815088,5
-0.314815088,0,0,-0.414142179,-5,-0.414142179,5
-0.414142179,0,0,-0.513470085,-5,-0.513470085,5
-0.513470085,0,0,-0.612796573,-5,-0.612796573,5
-0.612796573,0,0,-0.712121839,-5,-0.712121839,5
-0.712121839,0,0,-0.81144793,-5,-0.81144793,5
-0.81144793,0,0,-0.910776648,-5,-0.910776648,5
-0.910776648,0,0,-1.010107962,-5,-1.010107962,5
-1.010107962,0,0,-1.109440251,-5,-1.109440251,5
-1.109440251,0,0,-1.208771939,-5,-1.208771939,5
-1.208771939,0,0,-1.308102929,-5,-1.308102929,5
-1.308102929,0,0,-1.407434591,-5,-1.407434591,5
-1.407434591,0,0,-1.506768464,-5,-1.506768464,5
-1.506768464,0,0,-1.606104948,-5,-1.606104948,5
-1.606104948,0,0,-1.705443132,-5,-1.705443132,5
-1.705443132,0,0,-1.80478177,-5,-1.80478177,5
-1.80478177,0,0,-1.904120442,-5,-1.904120442,5
-1.904120442,0,0,-2.003459868,-5,-2.003459868,5
-2.003459868,0,0,-2.102801196,-5,-2.102801196,5
-2.102801196,0,0,-2.202145011,-5,-2.202145011,5
-2.202145011,0,0,-2.301490943,-5,-2.301490943,5
-2.301490943,0,0,-2.40083816,-5,-2.40083816,5
-2.40083816,0,0,-2.500186205,-5,-2.500186205,5
-2.500186205,0,0,-2.599535407,-5,-2.599535407,5
-2.599535407,0,0,-2.698886565,-5,-2.698886565,5
-2.698886565,0,0,-2.798240249,-5,-2.798240249,5
-2.798240249,0,0,-2.897596386,-5,-2.897596386,5
-2.897596386,0,0,-2.996954449,-5,-2.996954449,5
-2.996954449,0,0,-3.096314016,-5,-3.096314016,5
-3.096314016,0,0,-3.195675181,-5,-3.195675181,5
-3.195675181,0,0,-3.295038457,-5,-3.295038457,5
-3.295038457,0,0,-3.394404333,-5,-3.394404333,5
-3.394404333,0,0,-3.493772891,-5,-3.493772891,5
-3.493772891,0,0,-3.593143821,-5,-3.593143821,5
-3.593143821,0,0,-3.692516777,-5,-3.692516777,5
-3.692516777,0,0,-3.791891714,-5,-3.791891714,5
-3.791891714,0,0,-3.891268927,-5,-3.891268927,5
-3.891268927,0,0,-3.990648783,-5,-3.990648783,5
-3.990648783,0,0,-4.09003142,-5,-4.09003142,5
-4.09003142,0,0,-4.189416676,-5,-4.189416676,5
-4.189416676,0,0,-4.288804284,-5,-4.288804284,5
-4.288804284,0,0,-4.388194136,-5,-4.388194136,5
-4.388194136,0,0,-4.487586378,-5,-4.487586378,5
-4.487586378,0,0,-4.586981261,-5,-4.586981261,5
-4.586981261,0,0,-4.686378929,-5,-4.686378929,5
-4.686378929,0,0,-4.785779311,-5,-4.785779311,5
-4.785779311,0,0,-4.885182216,-5,-4.885182216,5
-4.885182216,0,0,-4.984587518,-5,-4.984587518,5
-4.984587518,0,0,-5.083995263,-5,-5.083995263,5
-5.083995263,0,0,-5.183405614,-5,-5.183405614,5
-5.183405614,0,0,-5.282818693,-5,-5.282818693,5
-5.282818693,0,0,-5.382234483,-5,-5.382234483,5
-5.382234483,0,0,-5.481652856,-5,-5.481652856,5
-5.481652856,0,0,-5.581073695,-5,-5.581073695,5
-5.581073695,0,0,-5.680496994,-5,-5.680496994,5
-5.680496994,0,0,-5.779922847,-5,-5.779922847,5
-5.779922847,0,0,-5.879351349,-5,-5.879351349,5
-5.879351349,0,0,-5.978782513,-5,-5.978782513,5
-5.978782513,0,0,-6.07821626,-5,-6.07821626,5
-6.07821626,0,0,-6.177652496,-5,-6.177652496,5
-6.177652496,0,0,-6.27709119,-5,-6.27709119,5
-6.27709119,0,0,-6.376532391,-5,-6.376532391,5
-6.376532391,0,0,-6.475976169,-5,-6.475976169,5
-6.475976169,0,0,-6.57542255,-5,-6.57542255,5
-6.57542255,0,0,-6.674871492,-5,-6.674871492,5
-6.674871492,0,0,-6.774322928,-5,-6.774322928,5
-6.774322928,0,0,-6.87377682,-5,-6.87377682,5
-6.87377682,0,0,-6.973233189,-5,-6.973233189,5
-6.973233189,0,0,-7.072692084,-5,-7.072692084,5
-7.072692084,0,0,-7.172153537,-5,-7.172153537,5
-7.172153537,0,0,-7.27161753,-5,-7.27161753,5
-7.27161753,0,0,-7.371084019,-5,-7.371084019,5
-7.371084019,0,0,-7.47055297,-5,-7.47055297,5
-7.47055297,0,0,-7.570024389,-5,-7.570024389,5
-7.570024389,0,0,-7.669498309,-5,-7.669498309,5
-7.669498309,0,0,-7.76897476,-5,-7.76897476,5
-7.76897476,0,0,-7.868453739,-5,-7.868453739,5
-7.868453739,0,0,-7.967935222,-5,-7.967935222,5
-7.967935222,0,0,-8.067419181,-5,-8.067419181,5
-8.067419181,0,0,-8.166905615,-5,-8.166905615,5
-8.166905615,0,0,-8.266394545,-5,-8.266394545,5
-8.266394545,0,0,-8.365885995,-5,-8.365885995,5
-8.365885995,0,0,-8.465379972,-5,-8.465379972,5
-8.465379972,0,0,-8.564876463,-5,-8.564876463,5
-8.564876463,0,0,-8.664375448,-5,-8.664375448,5
-8.664375448,0,0,-8.763876924,-5,-8.763876924,5
-8.763876924,0,0,-8.8633809,-5,-8.8633809,5
-8.8633809,0,0,-8.962887396,-5,-8.962887396,5
-8.962887396,0,0,-9.062396422,-5,-9.062396422,5
-9.062396422,0,0,-9.161907971,-5,-9.161907971,5
-9.161907971,0,0,-9.261422031,-5,-9.261422031,5
-9.261422031,0,0,-9.360938594,-5,-9.360938594,5
-9.360938594,0,0,-9.460457665,-5,-9.460457665,5
-9.460457665,0,0,-9.559979257,-5,-9.559979257,5
-9.559979257,0,0,-9.659503378,-5,-9.659503378,5
-9.659503378,0,0,-9.759030027,-5,-9.759030027,5
-9.759030027,0,0,-9.858559193,-5,-9.858559193,5
-9.858559193,0,0,-9.958090869,-5,-9.958090869,5
